0,1,2,3,4,5,6,7,8
Azerbaijan,113,Garry Kasparov,http://www.wikidata.org/entity/Q28614,wd:Q28614,12810.0,Russian chess grandmaster and activist,"Garry Kimovich Kasparov (born 13 April 1963) is a Russian chess grandmaster, former World Chess Champion, writer and political activist. His peak rating of 2851, achieved in 1999, was the highest recorded until being surpassed by Magnus Carlsen in 2013. From 1984 until his retirement in 2005, Kasparov was ranked world no. 1 for a record 255 months overall. Kasparov also holds records for the most consecutive professional tournament victories (15) and Chess Oscars (11).
Kasparov became the youngest-ever undisputed World Chess Champion in 1985 at age 22 by defeating then-champion Anatoly Karpov. He held the official FIDE world title until 1993, when a dispute with FIDE led him to set up a rival organization, the Professional Chess Association. In 1997 he became the first world champion to lose a match to a computer under standard time controls when he lost to the IBM supercomputer Deep Blue in a highly publicized match. He continued to hold the ""Classical"" World Chess Championship until his defeat by Vladimir Kramnik in 2000. Despite losing the PCA title, he continued winning tournaments and was the world's highest-rated player when he retired from professional chess in 2005.
Since retiring, he has devoted his time to politics and writing. He formed the United Civil Front movement and joined as a member of The Other Russia, a coalition opposing the administration and policies of Vladimir Putin. In 2008, he announced an intention to run as a candidate in that year's Russian presidential race, but after encountering logistical problems in his campaign, for which he blamed ""official obstruction"", he withdrew. In the wake of the Russian mass protests that began in 2011, he announced in 2013 that he had left Russia for the immediate future out of fear of persecution. Following his flight from Russia, he lived in New York City with his family. In 2014, he obtained Croatian citizenship, and has maintained a residence in Podstrana near Split.Kasparov is currently chairman of the Human Rights Foundation and chairs its International Council. In 2017, he founded the Renew Democracy Initiative (RDI), an American political organization promoting and defending liberal democracy in the U.S. and abroad. He serves as chairman of the group. Kasparov is also a security ambassador for the software company Avast.

",https://en.wikipedia.org/wiki/Garry_Kasparov
Bahrain,27,Rashid Ramzi,http://www.wikidata.org/entity/Q315111,wd:Q315111,2424015.0,Moroccan-born middle distance runner for Bahrain,"Rashid Ramzi (Arabic: رشيد رمزي) (born July 17, 1980) is a Moroccan-Bahraini track and field athlete competing internationally for Bahrain in the 800 metres and 1500 metres.  Ramzi was investigated by the IAAF after the 2008 Summer Olympics and was stripped of his gold medal for doping.Ramzi was born in Safi, Morocco.  After transferring to Bahrain, he ascended to the top of the Asian scene, winning gold medals at the Asian Athletics Championships and the 2002 Asian Games. He set an Asian indoor record over 800 metres to take the silver at the 2004 IAAF World Indoor Championships—his first global medal—and took part in the 2004 Athens Olympics. He reached the peak of his discipline the following year by becoming both the 800 m and 1500 m champion at the 2005 World Championships in Athletics – the first man to ever do such a double at the competition.
He failed to retain his titles at the 2007 World Championships, but still took the silver medal over 1500 m. At the 2008 Summer Olympics he was the recipient of the first ever medal for Bahrain at the Olympics – winning the 1500 m gold medal. However, his result did not stand and he was excluded from the sport for two years after his test came back positive for the banned blood-boosting substance CERA.",https://en.wikipedia.org/wiki/Rashid_Ramzi
Bangladesh,21,Shakib Al Hasan,http://www.wikidata.org/entity/Q266104,wd:Q266104,7218103.0,Bangladeshi cricketer,"Shakib Al Hasan (Bengali: সাকিব আল হাসান; born 24 March 1987) is a Bangladeshi cricketer and current captain of the Bangladesh national cricket team in Tests and T20Is. He plays for Barishal in domestic cricket as an all-rounder. He is currently the number 1 ranked all-rounder in ODI cricket and is widely considered to be one of the greatest all-rounders of all time. He is known for his aggressive left-handed batting style in the middle order and controlled slow left-arm orthodox bowling. He was ranked the 90th most famous athlete in the world by ESPN. As of 2022, he has taken the most wickets at T20 World Cups.Shakib Al Hasan made his test debut in 2007 against India. His breakthrough came in the Test against New Zealand in Chittagong in 2008. He picked up 7/36, which to date is the best figure by a Bangladeshi bowler. In the 2012 Asia Cup, Shakib scored 237 runs, including three fifties, and took six wickets. Bangladesh progressed to the tournament's final for the first time, losing to Pakistan by two runs. Shakib Al Hasan received many awards for his performance in the game.
He was awarded the Player of the Tournament award in the 2019 Cricket World Cup for hitting back-to-back centuries and half-centuries for his country. He ended up as the third most run-scorer in the tournament with 606 runs. He has received 31 man-of-the-match awards and 16 man-of-the-series awards in all formats. Currently, he holds the third most Player of the tournament awards in all forms after Sachin Tendulkar and Virat Kohli. Between 2009 and 2022, he captained the Bangladesh cricket team in 85 matches across all three formats.
Shakib is a vital cog in Bangladesh's line-up as a genuine all-rounder. He has been a consistent performer for his country over the years. Shakib is the most controversial figure in Bangladesh's cricket history, always making at to the top of the headlines. He is the most followed person on Facebook, Twitter and other social media platforms in Bangladesh, with more than 20 million followers. As of March 2022, Shakib holds the record for the most men's Twenty20 International wickets.",https://en.wikipedia.org/wiki/Shakib_Al_Hasan
Barbados,26,Obadele Thompson,http://www.wikidata.org/entity/Q366517,wd:Q366517,94253.0,Barbadian track and field sprinter,"Obadele ""Oba"" Thompson BSS (born 30 March 1976) is a Barbados-born former sprinter, lawyer, author, and speaker. He won Barbados's first and only Olympic medal as an independent country by placing third in the 100 metres at the 2000 Sydney Olympics. He is a three-time Olympian (1996, 2000, and 2004), and a finalist at each Olympics. His personal best performances are 9.87 seconds for the 100 m, 19.97 seconds for the 200 metres (both Barbadian records), and 45.38 seconds for the 400 metres. He has held the indoor 55 metres world record (5.99 sec.) since 1997.Obadele's Olympic success followed an outstanding collegiate career at the University of Texas-El Paso (UTEP) where he amassed several prestigious awards for his academics, athletics, and leadership. As a collegian, he won four individual NCAA sprint titles: indoor 200 m (1996 and 1997) and the outdoor 100 and 200 metres (1997). He set two NCAA records: indoor 55 m (1997) and indoor 200 m (1996). He established two world records: 55 m (1997) and the World Junior 100 m (1994). In 1996, he ran the then-fastest 100 m recorded under all conditions (a windy 9.69 sec.).He was an eleven-time NCAA All-American and a sixteen-time Western Athletic Conference (WAC) Champion. Thompson won several Athlete of the Year awards, including the UTEP Athlete of the Year (1996 and 1997), US Track & Field and Cross Country Coaches Association (USTFCCCA) NCAA Division I Male Indoor Athlete of the Year (1997), and the Stan Bates WAC Male Student-Athlete of the Year (1997). He has also been listed as one of UTEP's all-time top 10 male athletes.Thompson was a three-time USTFCCCA Academic All-American (1995–1997). In 1996, he became a member of Beta Gamma Sigma (BGS) honor society, the highest recognition business students worldwide can receive from an Association to Advance Collegiate Schools of Business (AACSB) accredited business program. In 1997, he was named a College Sports Information Directors of America (CoSIDA) First-Team At-Large Academic All-American (formerly the GTE First-Team At-Large Academic All-American award) and received the State of Texas Certificate of Merit for his exemplary achievement in academics and athletics. In 1998, he became a UTEP Alumni Association Top Ten Senior awardee, and received the NCAA Today's Top VIII Award (now the NCAA Today's Top 10) for outstanding leadership, athletics and academics, along with two-time NFL Super Bowl Champion, Peyton Manning, who attended the University of Tennessee.
After retiring from a decade-long professional athletics career, Thompson published his first book, Secrets of a Student-Athlete: A Reality Check, which was endorsed by legendary Duke basketball coach Mike Krzyzewski. Thompson was a keynote speaker at the official launch of the 2007 ICC Cricket World Cup in Barbados and has participated in leadership development programs, including with the West Indies Cricket Team. He has also served variously as a speaker and panellist on matters related to sports management, performance, and anti-doping.
Thompson was inducted into the UTEP Track and Field Hall of Fame in 2007, and into the UTEP Athletics and Drake Relays Halls of Fame in 2011.
He graduated from UTEP summa cum laude in economics and marketing and received his Juris Doctor (J.D.) from the University of Texas School of Law. He practices international arbitration and litigation.",https://en.wikipedia.org/wiki/Obadele_Thompson
Belarus,70,Victoria Azarenka,http://www.wikidata.org/entity/Q10118,wd:Q10118,3493545.0,Belarusian tennis player,"Victoria Fyodarauna Azarenka (Belarusian: Вікторыя Фёдараўна Азаранка; Russian: Виктория Фёдоровна Азаренко; born 31 July 1989) is a Belarusian professional tennis player. Azarenka is a former world No. 1 in singles, having claimed the top ranking for the first time on 30 January 2012. She was the year-end No. 1 in 2012 and has held the top ranking for a combined total of 51 weeks. 
Azarenka has won 21 WTA singles titles, including two Grand Slam singles titles at the 2012 and 2013 Australian Open, becoming the first Belarusian player, male or female, to win a Grand Slam tournament singles title. Azarenka is also a three-time major finalist at the US Open, finishing runner-up to Serena Williams in both 2012 and 2013 and to Naomi Osaka in 2020. In singles she also won six Premier Mandatory tournaments (including the Sunshine Double in 2016), four Premier 5 tournaments, and the singles bronze medal at the 2012 Summer Olympics in London. She was the runner-up at the 2011 WTA Finals to Petra Kvitová, reached four other Grand Slam singles semifinals (Australian Open in 2023 (Wimbledon in 2011 and 2012 and the French Open in 2013), and had nine other major quarterfinal appearances. She finished with a year-end top 10 singles ranking for five consecutive years between 2009 and 2013.
Azarenka has won nine WTA doubles titles (including two Premier Mandatory and two Premier 5 titles), reached four Grand Slam finals in women's doubles, and reached a career-high ranking of No. 7 in the world on 7 July 2008. She has won three mixed doubles titles — two being Grand Slam titles at the 2007 US Open with compatriot Max Mirnyi and the 2008 French Open with Bob Bryan, and the third being the Olympic gold medal in mixed doubles at the 2012 London Olympics with Mirnyi.

",https://en.wikipedia.org/wiki/Victoria_Azarenka
Belgium,88,Max Verstappen,http://www.wikidata.org/entity/Q2239218,wd:Q2239218,41758713.0,Belgian-Dutch racing driver (born 1997),"Max Emilian Verstappen (Dutch: [ˈmɑks vɛrˈstɑ.pə(n)]; born 30 September 1997) is a Belgian-Dutch racing driver and the 2021 and 2022 Formula One World Champion. He competes under the Dutch flag in Formula One with Red Bull Racing.
Verstappen is the son of racing drivers Jos Verstappen, who also competed in Formula One, and Sophie Kumpen. He had a successful run in junior karting and single-seater categories – including KF3, WSK World Series, KZ2 and European Formula 3 – beating several records.
At the 2015 Australian Grand Prix, when he was aged 17 years, 166 days, he became the youngest driver to compete in Formula One. After spending the 2015 season with Scuderia Toro Rosso, Verstappen started his 2016 campaign with the Italian team before being promoted to parent team Red Bull Racing after four races as a replacement for Daniil Kvyat. At the age of 18, he won the 2016 Spanish Grand Prix on his debut for Red Bull Racing, becoming the youngest-ever driver and the first Dutch driver to win a Formula One Grand Prix. After winning the 2021 Abu Dhabi Grand Prix, Verstappen became the first Dutch driver to win the Formula One World Championship, and the 34th Formula One World Drivers' Champion. He won his second consecutive Formula One championship the next season.
As of the 2022 Abu Dhabi Grand Prix, Verstappen has achieved 35 victories and 20 pole positions. He scored the first hat-trick of his career at the 2021 French Grand Prix and his first grand slam at the 2021 Austrian Grand Prix. He scored his second grand slam at the 2022 Emilia Romagna Grand Prix. Verstappen is set to remain at Red Bull until at least the end of the 2028 season after signing a contract extension.",https://en.wikipedia.org/wiki/Max_Verstappen
Belize,59,Simone Biles,http://www.wikidata.org/entity/Q7520267,wd:Q7520267,38659992.0,American artistic gymnast (born 1997),"Simone Arianne Biles (; born March 14, 1997) is an American artistic gymnast. Her seven Olympic medals tied with Shannon Miller for the most Olympic medals won by an American gymnast and is the equal ninth-most overall. Having won 25 World Championship medals, she is the most decorated gymnast in the history of the Gymnastics World Championships, and is considered by many sources to be the greatest gymnast of all time. In 2022, Biles was awarded the Presidential Medal of Freedom by Joe Biden.At the 2016 Summer Olympics in Rio de Janeiro, Biles won individual gold medals in the all-around, vault, and floor; bronze on balance beam; and gold as part of the United States team, dubbed the ""Final Five"". At the 2020 Summer Olympics in Tokyo, where Biles was favored to win at least four of the six available gold medals, she withdrew from most of the competition due to struggles with ""the twisties"", a temporary loss of air balance awareness. She ultimately won a silver medal with the US team and a bronze medal on the balance beam. Her partial withdrawal, focus on safety, mental health, and perseverance were praised. She is also a five-time World all-around champion (2013–2015, 2018–2019), five-time World floor exercise champion (2013–2015, 2018–2019), three-time World balance beam champion (2014–2015, 2019), two-time World vault champion (2018–2019), a seven-time United States national all-around champion (2013–2016, 2018–2019, 2021), and a member of the gold medal-winning American teams at the 2014, 2015, 2018, and 2019 World Artistic Gymnastics Championships. She is also a three-time World silver medalist (2013 and 2014 on vault, 2018 on uneven bars) and a three-time World bronze medalist (2015 on vault, 2013 and 2018 on balance beam).
Biles is the gymnast with the most World medals (25) and most World gold medals (19), having surpassed Vitaly Scherbo's record 23 World medals by winning her 24th and 25th, both gold, at the 2019 competition in Stuttgart. She is the female gymnast with the most World all-around titles (5). She is the sixth woman to win an individual all-around title at both the World Championships and the Olympics, and the first gymnast since Lilia Podkopayeva in 1996 to hold both titles simultaneously. She is the tenth female gymnast and first American female gymnast to win a World medal on every event, and the first female gymnast since Daniela Silivaș in 1988 to win a medal on every event at a single Olympic Games or World Championships, having accomplished this feat at the 2018 World Championships in Doha.

",https://en.wikipedia.org/wiki/Simone_Biles
Benin,24,Isabelle Yacoubou,http://www.wikidata.org/entity/Q614904,wd:Q614904,36589549.0,French basketball player,Isabelle Yacoubou (born 21 April 1986) is a Beninese-born French basketball player. She plays for France women's national basketball team. She has competed in the 2012 Summer Olympics where France won a silver medal. Since May 2004 she also holds the Beninese record in the shot put at 15.15 meters.,https://en.wikipedia.org/wiki/Isabelle_Yacoubou
Bhutan,14,Karma,http://www.wikidata.org/entity/Q21066819,wd:Q21066819,47779441.0,female Bhutanese recurve archer from Trashiyangtse,Karma (born 6 June 1990) is a Bhutanese recurve archer from Trashiyangtse in eastern Bhutan and lives at Thimphu also in Bhutan.,https://en.wikipedia.org/wiki/Karma_(archer)
Bolivia,15,Hugo Dellien,http://www.wikidata.org/entity/Q5904441,wd:Q5904441,44269980.0,Bolivian tennis player,"Hugo Dellien Jr. (Spanish pronunciation: [ˈuɣo ðeˈljen]; born 16 June 1993) is a Bolivian professional tennis player. He has a career-high ATP singles ranking of No. 70, achieved on 25 July 2022. He is the current No. 1 Bolivian tennis player. He also has a career-high ATP doubles ranking of No. 185 achieved on 2 February 2015. In juniors, Dellien had a career-high combined ranking of No. 2 in March 2011.",https://en.wikipedia.org/wiki/Hugo_Dellien
Bosnia and Herzegovina,51,Marin Čilić,http://www.wikidata.org/entity/Q245241,wd:Q245241,9637353.0,Croatian tennis player,"Marin Čilić (Croatian pronunciation: [mâriːn tʃǐːlitɕ]; born 28 September 1988) is a Croatian professional tennis player. Čilić has won 20 ATP Tour singles titles, including a major at the 2014 US Open. He was also runner-up at the 2017 Wimbledon Championships and the 2018 Australian Open, and won a silver medal at the 2020 Tokyo Olympics in the men's doubles tournament partnering Ivan Dodig. His career-high singles ranking is world No. 3, achieved on 28 January 2018.
Čilić has reached the semifinal stage or better at all four majors, and the quarterfinal stage or better at all nine ATP Masters 1000 tournaments. He is one of six active players with at least 20 ATP Tour titles and one of the five active players to reach at least the semifinal stage at all four majors. Alongside compatriot Goran Ivanišević, Čilić is widely considered to be one of the greatest Croatian tennis players in history.",https://en.wikipedia.org/wiki/Marin_%C4%8Cili%C4%87
Botswana,29,Nijel Amos,http://www.wikidata.org/entity/Q1660,wd:Q1660,35770971.0,Botswana middle distance runner,"Nijel Carlos Amilfitano Amos (born 15 March 1994) is a Botswana middle-distance runner who competes in the 800 metres. He won silver at the 2012 Summer Olympics, which was Botswana's first ever Olympic medal. On July 12, 2022, Amos was suspended from competition for doping and has not competed since.",https://en.wikipedia.org/wiki/Nijel_Amos
Brazil,103,Ayrton Senna,http://www.wikidata.org/entity/Q10490,wd:Q10490,146638.0,Brazilian racing driver (1960-1994),"Ayrton Senna da Silva (Brazilian Portuguese: [aˈiʁtõ ˈsẽnɐ dɐ ˈsiwvɐ] (listen); 21 March 1960 – 1 May 1994) was a Brazilian racing driver who won the Formula One World Drivers' Championship in 1988, 1990, and 1991. Senna is one of three Formula One drivers from Brazil to win the World Championship and won 41 Grands Prix and 65 pole positions, with the latter being the record until 2006. He died in an accident while leading the 1994 San Marino Grand Prix, driving for the Williams team. Senna is considered by media, commentators and fans to be one of the greatest F1 drivers in the history of the sport.Senna began his motorsport career in karting, moved up to open-wheel racing in 1981 and won the 1983 British Formula Three Championship. He made his Formula One debut with Toleman-Hart in 1984, before moving to Lotus-Renault the following year and winning six Grands Prix over the next three seasons. In 1988, he joined Frenchman Alain Prost at McLaren-Honda. Between them, they won all but one of the 16 Grands Prix that year, and Senna claimed his first World Championship. Prost claimed the championship in 1989, and Senna his second and third championships in 1990 and 1991. In 1992, the Williams-Renault combination began to dominate Formula One. Senna nonetheless managed to finish the 1993 season as runner-up, winning five races and negotiating a move to Williams in 1994.
Senna was recognised for his qualifying speed over one lap, and from 1989 until 2006 he held the record for most pole positions. He was also acclaimed for his wet weather performances, such as the 1984 Monaco Grand Prix, the 1985 Portuguese Grand Prix, and the 1993 European Grand Prix. He holds a record six victories at the Monaco Grand Prix, is the fifth-most successful driver of all time in terms of race wins and has won more races for McLaren than any other driver. Senna courted controversy throughout his career, particularly during his turbulent rivalry with Prost. In the Japanese Grands Prix of 1989 and 1990, each of which decided the championship of that year, collisions between Senna and Prost determined the eventual winner.",https://en.wikipedia.org/wiki/Ayrton_Senna
Brunei,14,Craig Adams,http://www.wikidata.org/entity/Q982263,wd:Q982263,349657.0,ice hockey player,"Craig D. Adams (born April 26, 1977) is a Bruneian-born Canadian former professional ice hockey player, who most recently played with the Pittsburgh Penguins of the National Hockey League. Adams was born in Seria, Brunei, but was raised in Calgary, Alberta, residing and playing hockey in the community of Lake Bonavista. Adams won the Stanley Cup with both the Carolina Hurricanes (in 2006) and the Pittsburgh Penguins (in 2009).

",https://en.wikipedia.org/wiki/Craig_Adams_(ice_hockey)
Bulgaria,62,Veselin Topalov,http://www.wikidata.org/entity/Q172798,wd:Q172798,348814.0,Bulgarian chess grandmaster,"Veselin Aleksandrov Topalov (pronounced [vɛsɛˈlin toˈpalof]; Bulgarian: Весели́н Александров Топа́лов; born 15 March 1975) is a Bulgarian chess grandmaster and former FIDE World Chess Champion.
Topalov became FIDE World Chess Champion by winning the FIDE World Chess Championship 2005. He lost his title in the World Chess Championship 2006 against Vladimir Kramnik. He challenged Viswanathan Anand at the World Chess Championship 2010, losing 6½–5½. He won the 2005 Chess Oscar.He was ranked world number one from April 2006 to January 2007. He regained the top ranking in October 2008 until January 2010. His peak rating was 2816 in July 2015, placing him joint-tenth on the list of highest FIDE-rated players of all time.
Topalov has competed at nine Chess Olympiads (1994–2000, 2008–2016), winning board one gold in 2014 and scoring best overall performance in 1994. He also won in Linares, Corus, Dortmund, Stavanger and Pearl Spring tournaments.
Topalov is married and has two daughters.",https://en.wikipedia.org/wiki/Veselin_Topalov
Burkina Faso,27,Hugues Fabrice Zango,http://www.wikidata.org/entity/Q20976240,wd:Q20976240,47673629.0,Burkinabé athlete,"Hugues Fabrice Zango (born 25 June 1993) is a Burkinabé athlete who specialises in the triple jump and the long jump. Pending ratification, he is the world indoor record holder in the triple jump with a jump of 18.07 m (59 ft 3+1⁄4 in) set in 2021. Zango competed at the 2016 Summer Olympics in Rio de Janeiro, Brazil, and won the bronze medal at the 2020 Summer Olympics in Tokyo, Japan, in the triple jump event, the first ever Olympic medal for Burkina Faso. He has also competed in World Championships, two African athletics championships, a Jeux de la Francophonie, two Summer Universiades and two African Games.
He became the first-ever medalist for Burkina Faso with a bronze medal and African record at the 2019 World Athletics Championships in Doha.",https://en.wikipedia.org/wiki/Hugues_Fabrice_Zango
